season,category,metric,hour,value
summer,arrivals,mean,0,2
summer,arrivals,mean,1,2
summer,arrivals,mean,2,1
summer,arrivals,mean,3,1
summer,arrivals,mean,4,1
summer,arrivals,mean,5,1
summer,arrivals,mean,6,1
summer,arrivals,mean,7,2
summer,arrivals,mean,8,3
summer,arrivals,mean,9,4
summer,arrivals,mean,10,4
summer,arrivals,mean,11,5
summer,arrivals,mean,12,4
summer,arrivals,mean,13,5
summer,arrivals,mean,14,4
summer,arrivals,mean,15,5
summer,arrivals,mean,16,5
summer,arrivals,mean,17,6
summer,arrivals,mean,18,6
summer,arrivals,mean,19,6
summer,arrivals,mean,20,6
summer,arrivals,mean,21,5
summer,arrivals,mean,22,4
summer,arrivals,mean,23,3
summer,arrivals,median,0,2
summer,arrivals,median,1,1
summer,arrivals,median,2,1
summer,arrivals,median,3,1
summer,arrivals,median,4,1
summer,arrivals,median,5,1
summer,arrivals,median,6,1
summer,arrivals,median,7,1
summer,arrivals,median,8,3
summer,arrivals,median,9,4
summer,arrivals,median,10,4
summer,arrivals,median,11,4
summer,arrivals,median,12,4
summer,arrivals,median,13,4
summer,arrivals,median,14,4
summer,arrivals,median,15,4
summer,arrivals,median,16,5
summer,arrivals,median,17,5
summer,arrivals,median,18,6
summer,arrivals,median,19,6
summer,arrivals,median,20,6
summer,arrivals,median,21,5
summer,arrivals,median,22,4
summer,arrivals,median,23,3
summer,arrivals,delta_25%,0,1
summer,arrivals,delta_25%,1,0
summer,arrivals,delta_25%,2,1
summer,arrivals,delta_25%,3,1
summer,arrivals,delta_25%,4,1
summer,arrivals,delta_25%,5,1
summer,arrivals,delta_25%,6,1
summer,arrivals,delta_25%,7,0
summer,arrivals,delta_25%,8,2
summer,arrivals,delta_25%,9,2
summer,arrivals,delta_25%,10,2
summer,arrivals,delta_25%,11,1
summer,arrivals,delta_25%,12,1
summer,arrivals,delta_25%,13,1
summer,arrivals,delta_25%,14,1
summer,arrivals,delta_25%,15,1
summer,arrivals,delta_25%,16,2
summer,arrivals,delta_25%,17,1
summer,arrivals,delta_25%,18,2
summer,arrivals,delta_25%,19,2
summer,arrivals,delta_25%,20,2
summer,arrivals,delta_25%,21,1
summer,arrivals,delta_25%,22,2
summer,arrivals,delta_25%,23,1
summer,arrivals,p25,0,1
summer,arrivals,p25,1,1
summer,arrivals,p25,2,0
summer,arrivals,p25,3,0
summer,arrivals,p25,4,0
summer,arrivals,p25,5,0
summer,arrivals,p25,6,0
summer,arrivals,p25,7,1
summer,arrivals,p25,8,1
summer,arrivals,p25,9,2
summer,arrivals,p25,10,2
summer,arrivals,p25,11,3
summer,arrivals,p25,12,3
summer,arrivals,p25,13,3
summer,arrivals,p25,14,3
summer,arrivals,p25,15,3
summer,arrivals,p25,16,3
summer,arrivals,p25,17,4
summer,arrivals,p25,18,4
summer,arrivals,p25,19,4
summer,arrivals,p25,20,4
summer,arrivals,p25,21,4
summer,arrivals,p25,22,2
summer,arrivals,p25,23,2
summer,arrivals,p75,0,3
summer,arrivals,p75,1,2
summer,arrivals,p75,2,2
summer,arrivals,p75,3,1
summer,arrivals,p75,4,2
summer,arrivals,p75,5,1
summer,arrivals,p75,6,2
summer,arrivals,p75,7,2
summer,arrivals,p75,8,4
summer,arrivals,p75,9,5
summer,arrivals,p75,10,6
summer,arrivals,p75,11,6
summer,arrivals,p75,12,6
summer,arrivals,p75,13,6
summer,arrivals,p75,14,6
summer,arrivals,p75,15,6
summer,arrivals,p75,16,7
summer,arrivals,p75,17,8
summer,arrivals,p75,18,8
summer,arrivals,p75,19,8
summer,arrivals,p75,20,8
summer,arrivals,p75,21,7
summer,arrivals,p75,22,5
summer,arrivals,p75,23,4
summer,arrivals,delta_95%,0,3
summer,arrivals,delta_95%,1,3
summer,arrivals,delta_95%,2,3
summer,arrivals,delta_95%,3,2
summer,arrivals,delta_95%,4,2
summer,arrivals,delta_95%,5,2
summer,arrivals,delta_95%,6,2
summer,arrivals,delta_95%,7,3
summer,arrivals,delta_95%,8,4
summer,arrivals,delta_95%,9,5
summer,arrivals,delta_95%,10,4
summer,arrivals,delta_95%,11,5
summer,arrivals,delta_95%,12,4
summer,arrivals,delta_95%,13,5
summer,arrivals,delta_95%,14,4
summer,arrivals,delta_95%,15,4
summer,arrivals,delta_95%,16,5
summer,arrivals,delta_95%,17,6
summer,arrivals,delta_95%,18,5
summer,arrivals,delta_95%,19,5
summer,arrivals,delta_95%,20,4
summer,arrivals,delta_95%,21,4
summer,arrivals,delta_95%,22,3
summer,arrivals,delta_95%,23,4
summer,arrivals,p95,0,5
summer,arrivals,p95,1,4
summer,arrivals,p95,2,4
summer,arrivals,p95,3,3
summer,arrivals,p95,4,3
summer,arrivals,p95,5,3
summer,arrivals,p95,6,3
summer,arrivals,p95,7,4
summer,arrivals,p95,8,7
summer,arrivals,p95,9,9
summer,arrivals,p95,10,8
summer,arrivals,p95,11,9
summer,arrivals,p95,12,8
summer,arrivals,p95,13,9
summer,arrivals,p95,14,8
summer,arrivals,p95,15,8
summer,arrivals,p95,16,10
summer,arrivals,p95,17,11
summer,arrivals,p95,18,11
summer,arrivals,p95,19,11
summer,arrivals,p95,20,10
summer,arrivals,p95,21,9
summer,arrivals,p95,22,7
summer,arrivals,p95,23,7
summer,arrivals,stdev,0,2
summer,arrivals,stdev,1,1
summer,arrivals,stdev,2,1
summer,arrivals,stdev,3,1
summer,arrivals,stdev,4,1
summer,arrivals,stdev,5,1
summer,arrivals,stdev,6,1
summer,arrivals,stdev,7,1
summer,arrivals,stdev,8,2
summer,arrivals,stdev,9,3
summer,arrivals,stdev,10,2
summer,arrivals,stdev,11,2
summer,arrivals,stdev,12,2
summer,arrivals,stdev,13,2
summer,arrivals,stdev,14,2
summer,arrivals,stdev,15,2
summer,arrivals,stdev,16,3
summer,arrivals,stdev,17,3
summer,arrivals,stdev,18,3
summer,arrivals,stdev,19,3
summer,arrivals,stdev,20,3
summer,arrivals,stdev,21,2
summer,arrivals,stdev,22,2
summer,arrivals,stdev,23,2
summer,bed_assignment,mean,0,3
summer,bed_assignment,mean,1,2
summer,bed_assignment,mean,2,2
summer,bed_assignment,mean,3,1
summer,bed_assignment,mean,4,1
summer,bed_assignment,mean,5,1
summer,bed_assignment,mean,6,1
summer,bed_assignment,mean,7,1
summer,bed_assignment,mean,8,2
summer,bed_assignment,mean,9,3
summer,bed_assignment,mean,10,4
summer,bed_assignment,mean,11,4
summer,bed_assignment,mean,12,4
summer,bed_assignment,mean,13,4
summer,bed_assignment,mean,14,4
summer,bed_assignment,mean,15,4
summer,bed_assignment,mean,16,5
summer,bed_assignment,mean,17,5
summer,bed_assignment,mean,18,5
summer,bed_assignment,mean,19,6
summer,bed_assignment,mean,20,5
summer,bed_assignment,mean,21,5
summer,bed_assignment,mean,22,4
summer,bed_assignment,mean,23,4
summer,bed_assignment,median,0,3
summer,bed_assignment,median,1,2
summer,bed_assignment,median,2,1
summer,bed_assignment,median,3,1
summer,bed_assignment,median,4,1
summer,bed_assignment,median,5,1
summer,bed_assignment,median,6,1
summer,bed_assignment,median,7,1
summer,bed_assignment,median,8,2
summer,bed_assignment,median,9,3
summer,bed_assignment,median,10,4
summer,bed_assignment,median,11,4
summer,bed_assignment,median,12,4
summer,bed_assignment,median,13,4
summer,bed_assignment,median,14,4
summer,bed_assignment,median,15,4
summer,bed_assignment,median,16,5
summer,bed_assignment,median,17,5
summer,bed_assignment,median,18,5
summer,bed_assignment,median,19,5
summer,bed_assignment,median,20,5
summer,bed_assignment,median,21,5
summer,bed_assignment,median,22,4
summer,bed_assignment,median,23,4
summer,bed_assignment,p25,0,2
summer,bed_assignment,p25,1,1
summer,bed_assignment,p25,2,1
summer,bed_assignment,p25,3,0
summer,bed_assignment,p25,4,0
summer,bed_assignment,p25,5,0
summer,bed_assignment,p25,6,0
summer,bed_assignment,p25,7,0
summer,bed_assignment,p25,8,1
summer,bed_assignment,p25,9,2
summer,bed_assignment,p25,10,2
summer,bed_assignment,p25,11,3
summer,bed_assignment,p25,12,3
summer,bed_assignment,p25,13,3
summer,bed_assignment,p25,14,3
summer,bed_assignment,p25,15,3
summer,bed_assignment,p25,16,4
summer,bed_assignment,p25,17,4
summer,bed_assignment,p25,18,4
summer,bed_assignment,p25,19,4
summer,bed_assignment,p25,20,4
summer,bed_assignment,p25,21,4
summer,bed_assignment,p25,22,3
summer,bed_assignment,p25,23,2
summer,bed_assignment,p75,0,4
summer,bed_assignment,p75,1,3
summer,bed_assignment,p75,2,2
summer,bed_assignment,p75,3,1
summer,bed_assignment,p75,4,2
summer,bed_assignment,p75,5,2
summer,bed_assignment,p75,6,1
summer,bed_assignment,p75,7,2
summer,bed_assignment,p75,8,3
summer,bed_assignment,p75,9,4
summer,bed_assignment,p75,10,5
summer,bed_assignment,p75,11,6
summer,bed_assignment,p75,12,6
summer,bed_assignment,p75,13,5
summer,bed_assignment,p75,14,5
summer,bed_assignment,p75,15,6
summer,bed_assignment,p75,16,6
summer,bed_assignment,p75,17,6
summer,bed_assignment,p75,18,6
summer,bed_assignment,p75,19,7
summer,bed_assignment,p75,20,7
summer,bed_assignment,p75,21,6
summer,bed_assignment,p75,22,6
summer,bed_assignment,p75,23,5
summer,bed_assignment,p95,0,6
summer,bed_assignment,p95,1,5
summer,bed_assignment,p95,2,4
summer,bed_assignment,p95,3,3
summer,bed_assignment,p95,4,3
summer,bed_assignment,p95,5,3
summer,bed_assignment,p95,6,3
summer,bed_assignment,p95,7,4
summer,bed_assignment,p95,8,6
summer,bed_assignment,p95,9,7
summer,bed_assignment,p95,10,8
summer,bed_assignment,p95,11,8
summer,bed_assignment,p95,12,8
summer,bed_assignment,p95,13,7
summer,bed_assignment,p95,14,8
summer,bed_assignment,p95,15,8
summer,bed_assignment,p95,16,9
summer,bed_assignment,p95,17,9
summer,bed_assignment,p95,18,8
summer,bed_assignment,p95,19,10
summer,bed_assignment,p95,20,9
summer,bed_assignment,p95,21,8
summer,bed_assignment,p95,22,8
summer,bed_assignment,p95,23,8
summer,bed_assignment,stdev,0,2
summer,bed_assignment,stdev,1,2
summer,bed_assignment,stdev,2,1
summer,bed_assignment,stdev,3,1
summer,bed_assignment,stdev,4,1
summer,bed_assignment,stdev,5,1
summer,bed_assignment,stdev,6,1
summer,bed_assignment,stdev,7,1
summer,bed_assignment,stdev,8,2
summer,bed_assignment,stdev,9,2
summer,bed_assignment,stdev,10,2
summer,bed_assignment,stdev,11,2
summer,bed_assignment,stdev,12,2
summer,bed_assignment,stdev,13,2
summer,bed_assignment,stdev,14,2
summer,bed_assignment,stdev,15,2
summer,bed_assignment,stdev,16,2
summer,bed_assignment,stdev,17,2
summer,bed_assignment,stdev,18,2
summer,bed_assignment,stdev,19,2
summer,bed_assignment,stdev,20,2
summer,bed_assignment,stdev,21,2
summer,bed_assignment,stdev,22,2
summer,bed_assignment,stdev,23,2
